epoch,critic_loss,fake_loss,generator_loss,penalty,real_loss
0,-39.815,525.949,-527.056,16.432,-582.196
1,-25.08,37.272,-36.087,8.06,-70.411
2,-19.151,59.183,-57.39,5.341,-83.676
3,-16.608,66.316,-64.456,4.352,-87.276
4,-14.975,77.143,-75.332,3.749,-95.867
5,-13.507,81.601,-80.562,3.244,-98.351
6,-12.294,78.892,-77.946,2.831,-94.018
7,-11.497,72.597,-71.782,2.585,-86.68
8,-11.047,69.263,-68.547,2.47,-82.779
9,-10.601,65.308,-64.825,2.347,-78.255
10,-10.309,66.796,-66.009,2.293,-79.398
11,-9.86,61.108,-60.749,2.155,-73.122
12,-9.603,56.347,-56.454,2.1,-68.049
13,-9.411,50.561,-50.729,2.072,-62.043
14,-9.241,41.325,-41.534,2.057,-52.624
15,-9.247,36.55,-36.873,2.091,-47.888
16,-9.119,36.304,-36.726,2.101,-47.523
17,-8.875,33.493,-33.905,2.053,-44.42
18,-8.684,31.407,-31.911,2.046,-42.136
19,-8.754,30.258,-30.671,2.092,-41.104
20,-8.682,28.853,-29.019,2.123,-39.659
21,-8.436,26.343,-26.527,2.039,-36.818
22,-8.254,25.842,-25.903,2.014,-36.11
23,-8.37,25.488,-25.798,2.07,-35.927
24,-8.37,26.145,-26.529,2.108,-36.623
